[2025-05-26 22:40:29,740]: 
Training LeNet5 with hardtanh
[2025-05-26 22:41:03,867]: [LeNet5_hardtanh] Epoch: 001 Train Loss: 1.7246 Train Acc: 0.3708 Eval Loss: 1.4354 Eval Acc: 0.4802 (LR: 0.00100000)
[2025-05-26 22:41:34,779]: [LeNet5_hardtanh] Epoch: 002 Train Loss: 1.4778 Train Acc: 0.4637 Eval Loss: 1.3098 Eval Acc: 0.5266 (LR: 0.00100000)
[2025-05-26 22:42:02,380]: [LeNet5_hardtanh] Epoch: 003 Train Loss: 1.4037 Train Acc: 0.4940 Eval Loss: 1.2763 Eval Acc: 0.5389 (LR: 0.00100000)
[2025-05-26 22:42:29,677]: [LeNet5_hardtanh] Epoch: 004 Train Loss: 1.3474 Train Acc: 0.5124 Eval Loss: 1.2134 Eval Acc: 0.5664 (LR: 0.00100000)
[2025-05-26 22:42:59,013]: [LeNet5_hardtanh] Epoch: 005 Train Loss: 1.3161 Train Acc: 0.5258 Eval Loss: 1.2176 Eval Acc: 0.5598 (LR: 0.00100000)
[2025-05-26 22:43:30,369]: [LeNet5_hardtanh] Epoch: 006 Train Loss: 1.2754 Train Acc: 0.5399 Eval Loss: 1.1569 Eval Acc: 0.5868 (LR: 0.00100000)
[2025-05-26 22:44:01,815]: [LeNet5_hardtanh] Epoch: 007 Train Loss: 1.2510 Train Acc: 0.5510 Eval Loss: 1.1356 Eval Acc: 0.5911 (LR: 0.00100000)
[2025-05-26 22:44:32,704]: [LeNet5_hardtanh] Epoch: 008 Train Loss: 1.2283 Train Acc: 0.5602 Eval Loss: 1.1258 Eval Acc: 0.5943 (LR: 0.00100000)
[2025-05-26 22:45:03,604]: [LeNet5_hardtanh] Epoch: 009 Train Loss: 1.2149 Train Acc: 0.5631 Eval Loss: 1.0959 Eval Acc: 0.5989 (LR: 0.00100000)
[2025-05-26 22:45:34,574]: [LeNet5_hardtanh] Epoch: 010 Train Loss: 1.1974 Train Acc: 0.5733 Eval Loss: 1.0991 Eval Acc: 0.6065 (LR: 0.00100000)
[2025-05-26 22:46:05,544]: [LeNet5_hardtanh] Epoch: 011 Train Loss: 1.1819 Train Acc: 0.5792 Eval Loss: 1.1015 Eval Acc: 0.6058 (LR: 0.00100000)
[2025-05-26 22:46:35,716]: [LeNet5_hardtanh] Epoch: 012 Train Loss: 1.1703 Train Acc: 0.5840 Eval Loss: 1.0573 Eval Acc: 0.6289 (LR: 0.00100000)
[2025-05-26 22:47:06,421]: [LeNet5_hardtanh] Epoch: 013 Train Loss: 1.1569 Train Acc: 0.5871 Eval Loss: 1.0489 Eval Acc: 0.6248 (LR: 0.00100000)
[2025-05-26 22:47:37,065]: [LeNet5_hardtanh] Epoch: 014 Train Loss: 1.1456 Train Acc: 0.5926 Eval Loss: 1.0918 Eval Acc: 0.6125 (LR: 0.00100000)
[2025-05-26 22:48:07,821]: [LeNet5_hardtanh] Epoch: 015 Train Loss: 1.1315 Train Acc: 0.5972 Eval Loss: 1.1119 Eval Acc: 0.6060 (LR: 0.00100000)
[2025-05-26 22:48:38,682]: [LeNet5_hardtanh] Epoch: 016 Train Loss: 1.1319 Train Acc: 0.5993 Eval Loss: 1.0456 Eval Acc: 0.6296 (LR: 0.00100000)
[2025-05-26 22:49:09,659]: [LeNet5_hardtanh] Epoch: 017 Train Loss: 1.1245 Train Acc: 0.5992 Eval Loss: 1.0435 Eval Acc: 0.6272 (LR: 0.00100000)
