[2025-06-13 07:10:01,940]: 
Training LeNet5 with parametrized_hardtanh
[2025-06-13 07:10:30,270]: [LeNet5_parametrized_hardtanh] Epoch: 001 Train Loss: 1.6916 Train Acc: 0.3845 Eval Loss: 1.4082 Eval Acc: 0.4852 (LR: 0.00100000)
[2025-06-13 07:10:58,250]: [LeNet5_parametrized_hardtanh] Epoch: 002 Train Loss: 1.4708 Train Acc: 0.4658 Eval Loss: 1.3290 Eval Acc: 0.5236 (LR: 0.00100000)
[2025-06-13 07:11:25,612]: [LeNet5_parametrized_hardtanh] Epoch: 003 Train Loss: 1.3883 Train Acc: 0.4978 Eval Loss: 1.2500 Eval Acc: 0.5520 (LR: 0.00100000)
[2025-06-13 07:11:52,477]: [LeNet5_parametrized_hardtanh] Epoch: 004 Train Loss: 1.3334 Train Acc: 0.5231 Eval Loss: 1.2403 Eval Acc: 0.5633 (LR: 0.00100000)
[2025-06-13 07:12:19,012]: [LeNet5_parametrized_hardtanh] Epoch: 005 Train Loss: 1.2879 Train Acc: 0.5392 Eval Loss: 1.1801 Eval Acc: 0.5752 (LR: 0.00100000)
[2025-06-13 07:12:44,585]: [LeNet5_parametrized_hardtanh] Epoch: 006 Train Loss: 1.2575 Train Acc: 0.5499 Eval Loss: 1.1621 Eval Acc: 0.5892 (LR: 0.00100000)
[2025-06-13 07:13:10,602]: [LeNet5_parametrized_hardtanh] Epoch: 007 Train Loss: 1.2311 Train Acc: 0.5579 Eval Loss: 1.1255 Eval Acc: 0.6002 (LR: 0.00100000)
[2025-06-13 07:13:36,220]: [LeNet5_parametrized_hardtanh] Epoch: 008 Train Loss: 1.2193 Train Acc: 0.5629 Eval Loss: 1.1284 Eval Acc: 0.5969 (LR: 0.00100000)
[2025-06-13 07:14:01,801]: [LeNet5_parametrized_hardtanh] Epoch: 009 Train Loss: 1.1947 Train Acc: 0.5760 Eval Loss: 1.1170 Eval Acc: 0.5978 (LR: 0.00100000)
[2025-06-13 07:14:27,363]: [LeNet5_parametrized_hardtanh] Epoch: 010 Train Loss: 1.1769 Train Acc: 0.5821 Eval Loss: 1.0805 Eval Acc: 0.6171 (LR: 0.00100000)
[2025-06-13 07:14:53,255]: [LeNet5_parametrized_hardtanh] Epoch: 011 Train Loss: 1.1690 Train Acc: 0.5829 Eval Loss: 1.1278 Eval Acc: 0.6039 (LR: 0.00100000)
[2025-06-13 07:15:19,279]: [LeNet5_parametrized_hardtanh] Epoch: 012 Train Loss: 1.1546 Train Acc: 0.5902 Eval Loss: 1.0532 Eval Acc: 0.6244 (LR: 0.00100000)
[2025-06-13 07:15:45,049]: [LeNet5_parametrized_hardtanh] Epoch: 013 Train Loss: 1.1532 Train Acc: 0.5896 Eval Loss: 1.0597 Eval Acc: 0.6205 (LR: 0.00100000)
[2025-06-13 07:16:10,871]: [LeNet5_parametrized_hardtanh] Epoch: 014 Train Loss: 1.1381 Train Acc: 0.5965 Eval Loss: 1.0492 Eval Acc: 0.6283 (LR: 0.00100000)
[2025-06-13 07:16:37,203]: [LeNet5_parametrized_hardtanh] Epoch: 015 Train Loss: 1.1253 Train Acc: 0.5983 Eval Loss: 1.0460 Eval Acc: 0.6336 (LR: 0.00100000)
[2025-06-13 07:17:03,177]: [LeNet5_parametrized_hardtanh] Epoch: 016 Train Loss: 1.1186 Train Acc: 0.5998 Eval Loss: 1.0540 Eval Acc: 0.6271 (LR: 0.00100000)
[2025-06-13 07:17:29,013]: [LeNet5_parametrized_hardtanh] Epoch: 017 Train Loss: 1.1119 Train Acc: 0.6059 Eval Loss: 1.0395 Eval Acc: 0.6358 (LR: 0.00100000)
[2025-06-13 07:17:54,781]: [LeNet5_parametrized_hardtanh] Epoch: 018 Train Loss: 1.1047 Train Acc: 0.6078 Eval Loss: 1.0370 Eval Acc: 0.6324 (LR: 0.00100000)
[2025-06-13 07:18:20,464]: [LeNet5_parametrized_hardtanh] Epoch: 019 Train Loss: 1.0902 Train Acc: 0.6137 Eval Loss: 1.0298 Eval Acc: 0.6406 (LR: 0.00100000)
[2025-06-13 07:18:46,181]: [LeNet5_parametrized_hardtanh] Epoch: 020 Train Loss: 1.0917 Train Acc: 0.6146 Eval Loss: 0.9926 Eval Acc: 0.6501 (LR: 0.00100000)
[2025-06-13 07:19:11,899]: [LeNet5_parametrized_hardtanh] Epoch: 021 Train Loss: 1.0889 Train Acc: 0.6155 Eval Loss: 1.0091 Eval Acc: 0.6459 (LR: 0.00100000)
[2025-06-13 07:19:37,721]: [LeNet5_parametrized_hardtanh] Epoch: 022 Train Loss: 1.0845 Train Acc: 0.6153 Eval Loss: 1.0089 Eval Acc: 0.6389 (LR: 0.00100000)
[2025-06-13 07:20:03,430]: [LeNet5_parametrized_hardtanh] Epoch: 023 Train Loss: 1.0754 Train Acc: 0.6203 Eval Loss: 0.9910 Eval Acc: 0.6530 (LR: 0.00100000)
[2025-06-13 07:20:29,155]: [LeNet5_parametrized_hardtanh] Epoch: 024 Train Loss: 1.0741 Train Acc: 0.6195 Eval Loss: 0.9797 Eval Acc: 0.6536 (LR: 0.00100000)
[2025-06-13 07:20:54,812]: [LeNet5_parametrized_hardtanh] Epoch: 025 Train Loss: 1.0753 Train Acc: 0.6186 Eval Loss: 0.9961 Eval Acc: 0.6469 (LR: 0.00100000)
