[2025-06-13 07:10:01,940]: 
Training LeNet5 with parametrized_relu
[2025-06-13 07:10:30,286]: [LeNet5_parametrized_relu] Epoch: 001 Train Loss: 1.8515 Train Acc: 0.3169 Eval Loss: 1.5895 Eval Acc: 0.4187 (LR: 0.00100000)
[2025-06-13 07:10:58,312]: [LeNet5_parametrized_relu] Epoch: 002 Train Loss: 1.5985 Train Acc: 0.4169 Eval Loss: 1.4234 Eval Acc: 0.4851 (LR: 0.00100000)
[2025-06-13 07:11:25,604]: [LeNet5_parametrized_relu] Epoch: 003 Train Loss: 1.4988 Train Acc: 0.4531 Eval Loss: 1.3701 Eval Acc: 0.5079 (LR: 0.00100000)
[2025-06-13 07:11:52,395]: [LeNet5_parametrized_relu] Epoch: 004 Train Loss: 1.4327 Train Acc: 0.4791 Eval Loss: 1.2946 Eval Acc: 0.5342 (LR: 0.00100000)
[2025-06-13 07:12:19,077]: [LeNet5_parametrized_relu] Epoch: 005 Train Loss: 1.3832 Train Acc: 0.4988 Eval Loss: 1.2633 Eval Acc: 0.5513 (LR: 0.00100000)
[2025-06-13 07:12:44,613]: [LeNet5_parametrized_relu] Epoch: 006 Train Loss: 1.3537 Train Acc: 0.5089 Eval Loss: 1.2541 Eval Acc: 0.5548 (LR: 0.00100000)
[2025-06-13 07:13:10,598]: [LeNet5_parametrized_relu] Epoch: 007 Train Loss: 1.3211 Train Acc: 0.5238 Eval Loss: 1.2045 Eval Acc: 0.5675 (LR: 0.00100000)
[2025-06-13 07:13:36,438]: [LeNet5_parametrized_relu] Epoch: 008 Train Loss: 1.2999 Train Acc: 0.5312 Eval Loss: 1.2026 Eval Acc: 0.5659 (LR: 0.00100000)
[2025-06-13 07:14:01,943]: [LeNet5_parametrized_relu] Epoch: 009 Train Loss: 1.2830 Train Acc: 0.5387 Eval Loss: 1.1806 Eval Acc: 0.5744 (LR: 0.00100000)
