[2025-05-26 22:40:29,740]: 
Training LeNet5 with relu
[2025-05-26 22:41:03,663]: [LeNet5_relu] Epoch: 001 Train Loss: 1.8070 Train Acc: 0.3364 Eval Loss: 1.5448 Eval Acc: 0.4299 (LR: 0.00100000)
[2025-05-26 22:41:34,103]: [LeNet5_relu] Epoch: 002 Train Loss: 1.5532 Train Acc: 0.4301 Eval Loss: 1.3988 Eval Acc: 0.4951 (LR: 0.00100000)
[2025-05-26 22:42:01,723]: [LeNet5_relu] Epoch: 003 Train Loss: 1.4579 Train Acc: 0.4713 Eval Loss: 1.3005 Eval Acc: 0.5300 (LR: 0.00100000)
[2025-05-26 22:42:28,899]: [LeNet5_relu] Epoch: 004 Train Loss: 1.3900 Train Acc: 0.4954 Eval Loss: 1.2708 Eval Acc: 0.5404 (LR: 0.00100000)
[2025-05-26 22:42:57,920]: [LeNet5_relu] Epoch: 005 Train Loss: 1.3495 Train Acc: 0.5127 Eval Loss: 1.2144 Eval Acc: 0.5629 (LR: 0.00100000)
[2025-05-26 22:43:28,558]: [LeNet5_relu] Epoch: 006 Train Loss: 1.3171 Train Acc: 0.5267 Eval Loss: 1.1921 Eval Acc: 0.5733 (LR: 0.00100000)
[2025-05-26 22:43:59,787]: [LeNet5_relu] Epoch: 007 Train Loss: 1.2916 Train Acc: 0.5357 Eval Loss: 1.1722 Eval Acc: 0.5807 (LR: 0.00100000)
[2025-05-26 22:44:30,801]: [LeNet5_relu] Epoch: 008 Train Loss: 1.2658 Train Acc: 0.5476 Eval Loss: 1.1568 Eval Acc: 0.5898 (LR: 0.00100000)
[2025-05-26 22:45:01,545]: [LeNet5_relu] Epoch: 009 Train Loss: 1.2428 Train Acc: 0.5536 Eval Loss: 1.1423 Eval Acc: 0.5920 (LR: 0.00100000)
[2025-05-26 22:45:32,524]: [LeNet5_relu] Epoch: 010 Train Loss: 1.2304 Train Acc: 0.5593 Eval Loss: 1.1192 Eval Acc: 0.6072 (LR: 0.00100000)
