[2025-05-26 22:40:29,737]: 
Training LeNet5 with relu6
[2025-05-26 22:41:03,832]: [LeNet5_relu6] Epoch: 001 Train Loss: 1.7941 Train Acc: 0.3357 Eval Loss: 1.5527 Eval Acc: 0.4433 (LR: 0.00100000)
[2025-05-26 22:41:34,802]: [LeNet5_relu6] Epoch: 002 Train Loss: 1.5520 Train Acc: 0.4285 Eval Loss: 1.3910 Eval Acc: 0.4885 (LR: 0.00100000)
[2025-05-26 22:42:02,380]: [LeNet5_relu6] Epoch: 003 Train Loss: 1.4591 Train Acc: 0.4697 Eval Loss: 1.3045 Eval Acc: 0.5363 (LR: 0.00100000)
[2025-05-26 22:42:29,736]: [LeNet5_relu6] Epoch: 004 Train Loss: 1.3905 Train Acc: 0.4953 Eval Loss: 1.2352 Eval Acc: 0.5600 (LR: 0.00100000)
[2025-05-26 22:42:58,994]: [LeNet5_relu6] Epoch: 005 Train Loss: 1.3354 Train Acc: 0.5181 Eval Loss: 1.2282 Eval Acc: 0.5653 (LR: 0.00100000)
[2025-05-26 22:43:30,367]: [LeNet5_relu6] Epoch: 006 Train Loss: 1.2955 Train Acc: 0.5337 Eval Loss: 1.1597 Eval Acc: 0.5851 (LR: 0.00100000)
[2025-05-26 22:44:01,763]: [LeNet5_relu6] Epoch: 007 Train Loss: 1.2619 Train Acc: 0.5467 Eval Loss: 1.1855 Eval Acc: 0.5740 (LR: 0.00100000)
[2025-05-26 22:44:32,703]: [LeNet5_relu6] Epoch: 008 Train Loss: 1.2345 Train Acc: 0.5581 Eval Loss: 1.1261 Eval Acc: 0.6023 (LR: 0.00100000)
[2025-05-26 22:45:03,584]: [LeNet5_relu6] Epoch: 009 Train Loss: 1.2161 Train Acc: 0.5648 Eval Loss: 1.1109 Eval Acc: 0.6063 (LR: 0.00100000)
[2025-05-26 22:45:34,693]: [LeNet5_relu6] Epoch: 010 Train Loss: 1.1958 Train Acc: 0.5733 Eval Loss: 1.1235 Eval Acc: 0.5970 (LR: 0.00100000)
[2025-05-26 22:46:05,513]: [LeNet5_relu6] Epoch: 011 Train Loss: 1.1833 Train Acc: 0.5761 Eval Loss: 1.0681 Eval Acc: 0.6209 (LR: 0.00100000)
[2025-05-26 22:46:35,963]: [LeNet5_relu6] Epoch: 012 Train Loss: 1.1633 Train Acc: 0.5850 Eval Loss: 1.0515 Eval Acc: 0.6271 (LR: 0.00100000)
[2025-05-26 22:47:06,751]: [LeNet5_relu6] Epoch: 013 Train Loss: 1.1542 Train Acc: 0.5887 Eval Loss: 1.0588 Eval Acc: 0.6225 (LR: 0.00100000)
[2025-05-26 22:47:37,334]: [LeNet5_relu6] Epoch: 014 Train Loss: 1.1407 Train Acc: 0.5913 Eval Loss: 1.0510 Eval Acc: 0.6274 (LR: 0.00100000)
[2025-05-26 22:48:08,027]: [LeNet5_relu6] Epoch: 015 Train Loss: 1.1312 Train Acc: 0.5970 Eval Loss: 1.0647 Eval Acc: 0.6218 (LR: 0.00100000)
[2025-05-26 22:48:38,765]: [LeNet5_relu6] Epoch: 016 Train Loss: 1.1268 Train Acc: 0.5988 Eval Loss: 1.0238 Eval Acc: 0.6377 (LR: 0.00100000)
[2025-05-26 22:49:09,657]: [LeNet5_relu6] Epoch: 017 Train Loss: 1.1118 Train Acc: 0.6047 Eval Loss: 1.0334 Eval Acc: 0.6321 (LR: 0.00100000)
[2025-05-26 22:49:40,382]: [LeNet5_relu6] Epoch: 018 Train Loss: 1.1108 Train Acc: 0.6047 Eval Loss: 1.0166 Eval Acc: 0.6389 (LR: 0.00100000)
[2025-05-26 22:50:11,618]: [LeNet5_relu6] Epoch: 019 Train Loss: 1.0975 Train Acc: 0.6089 Eval Loss: 0.9939 Eval Acc: 0.6466 (LR: 0.00100000)
[2025-05-26 22:50:42,302]: [LeNet5_relu6] Epoch: 020 Train Loss: 1.0943 Train Acc: 0.6098 Eval Loss: 1.0260 Eval Acc: 0.6380 (LR: 0.00100000)
[2025-05-26 22:51:12,590]: [LeNet5_relu6] Epoch: 021 Train Loss: 1.0861 Train Acc: 0.6143 Eval Loss: 0.9890 Eval Acc: 0.6417 (LR: 0.00100000)
[2025-05-26 22:51:42,727]: [LeNet5_relu6] Epoch: 022 Train Loss: 1.0747 Train Acc: 0.6170 Eval Loss: 1.0112 Eval Acc: 0.6397 (LR: 0.00100000)
[2025-05-26 22:52:14,215]: [LeNet5_relu6] Epoch: 023 Train Loss: 1.0699 Train Acc: 0.6171 Eval Loss: 0.9828 Eval Acc: 0.6488 (LR: 0.00100000)
[2025-05-26 22:52:44,662]: [LeNet5_relu6] Epoch: 024 Train Loss: 1.0686 Train Acc: 0.6210 Eval Loss: 0.9713 Eval Acc: 0.6572 (LR: 0.00100000)
[2025-05-26 22:53:14,697]: [LeNet5_relu6] Epoch: 025 Train Loss: 1.0651 Train Acc: 0.6205 Eval Loss: 0.9939 Eval Acc: 0.6471 (LR: 0.00100000)
[2025-05-26 22:53:44,571]: [LeNet5_relu6] Epoch: 026 Train Loss: 1.0582 Train Acc: 0.6219 Eval Loss: 0.9920 Eval Acc: 0.6431 (LR: 0.00100000)
[2025-05-26 22:54:14,666]: [LeNet5_relu6] Epoch: 027 Train Loss: 1.0589 Train Acc: 0.6212 Eval Loss: 0.9668 Eval Acc: 0.6538 (LR: 0.00100000)
[2025-05-26 22:54:44,511]: [LeNet5_relu6] Epoch: 028 Train Loss: 1.0481 Train Acc: 0.6270 Eval Loss: 0.9615 Eval Acc: 0.6536 (LR: 0.00100000)
[2025-05-26 22:55:14,261]: [LeNet5_relu6] Epoch: 029 Train Loss: 1.0510 Train Acc: 0.6245 Eval Loss: 0.9406 Eval Acc: 0.6640 (LR: 0.00100000)
[2025-05-26 22:55:44,008]: [LeNet5_relu6] Epoch: 030 Train Loss: 1.0428 Train Acc: 0.6291 Eval Loss: 0.9560 Eval Acc: 0.6562 (LR: 0.00100000)
[2025-05-26 22:56:14,118]: [LeNet5_relu6] Epoch: 031 Train Loss: 1.0436 Train Acc: 0.6269 Eval Loss: 0.9671 Eval Acc: 0.6551 (LR: 0.00100000)
[2025-05-26 22:56:43,331]: [LeNet5_relu6] Epoch: 032 Train Loss: 1.0342 Train Acc: 0.6314 Eval Loss: 0.9443 Eval Acc: 0.6659 (LR: 0.00100000)
[2025-05-26 22:57:12,229]: [LeNet5_relu6] Epoch: 033 Train Loss: 1.0350 Train Acc: 0.6347 Eval Loss: 0.9789 Eval Acc: 0.6506 (LR: 0.00100000)
[2025-05-26 22:57:41,032]: [LeNet5_relu6] Epoch: 034 Train Loss: 1.0309 Train Acc: 0.6345 Eval Loss: 0.9259 Eval Acc: 0.6699 (LR: 0.00100000)
[2025-05-26 22:58:10,251]: [LeNet5_relu6] Epoch: 035 Train Loss: 1.0279 Train Acc: 0.6346 Eval Loss: 0.9839 Eval Acc: 0.6537 (LR: 0.00100000)
[2025-05-26 22:58:39,067]: [LeNet5_relu6] Epoch: 036 Train Loss: 1.0284 Train Acc: 0.6350 Eval Loss: 0.9578 Eval Acc: 0.6598 (LR: 0.00100000)
[2025-05-26 22:59:07,942]: [LeNet5_relu6] Epoch: 037 Train Loss: 1.0228 Train Acc: 0.6342 Eval Loss: 0.9525 Eval Acc: 0.6648 (LR: 0.00100000)
[2025-05-26 22:59:36,665]: [LeNet5_relu6] Epoch: 038 Train Loss: 1.0245 Train Acc: 0.6363 Eval Loss: 0.9262 Eval Acc: 0.6756 (LR: 0.00100000)
[2025-05-26 23:00:05,731]: [LeNet5_relu6] Epoch: 039 Train Loss: 1.0181 Train Acc: 0.6390 Eval Loss: 0.9224 Eval Acc: 0.6688 (LR: 0.00100000)
